date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:03	32334/32334	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:00%20GMT	https://www.energy.gov/technologytransitions/who-do-i-contact-labs	/Users/zo/websites/doe/www.energy.gov/technologytransitions/who-do-i-contact-labs.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:05	25687/25687	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:03%20GMT	https://www.energy.gov/technologytransitions/mission	/Users/zo/websites/doe/www.energy.gov/technologytransitions/mission.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:09	36142/36142	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:05%20GMT	https://www.energy.gov/technologytransitions/about-us	/Users/zo/websites/doe/www.energy.gov/technologytransitions/about-us.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:11	26308/26308	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:09%20GMT	https://www.energy.gov/technologytransitions/contact-us	/Users/zo/websites/doe/www.energy.gov/technologytransitions/contact-us.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:14	41950/41950	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:11%20GMT	https://www.energy.gov/technologytransitions/news	/Users/zo/websites/doe/www.energy.gov/technologytransitions/news.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:17	43535/43535	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:14%20GMT	https://www.energy.gov/technologytransitions/office-technology-transitions-leadership	/Users/zo/websites/doe/www.energy.gov/technologytransitions/office-technology-transitions-leadership.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:20	33314/33314	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:17%20GMT	https://www.energy.gov/technologytransitions/downloads/office-technology-transitions-overview	/Users/zo/websites/doe/www.energy.gov/technologytransitions/downloads/office-technology-transitions-overview.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:23	32945/32945	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:20%20GMT	https://www.energy.gov/technologytransitions/downloads/department-energy-issues-2016-2018-doe-technology-transfer-execution	/Users/zo/websites/doe/www.energy.gov/technologytransitions/downloads/department-energy-issues-2016-2018-doe-technology-transfer-execution.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:28	45160/45160	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:24%20GMT	https://www.energy.gov/technologytransitions/articles/doe-announces-16-million-54-projects-help-commercialize-promising	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/doe-announces-16-million-54-projects-help-commercialize-promising.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:30	45332/45332	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:28%20GMT	https://www.energy.gov/technologytransitions/articles/accelerating-clean-energy-technology-solutions-through-president-s	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/accelerating-clean-energy-technology-solutions-through-president-s.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
